CMDLINE /home/freshield/anaconda3/bin/python b1_memory_profiler.py
MEM 0.621094 1589203535.2734
MEM 17.394531 1589203535.3737
MEM 24.441406 1589203535.4740
MEM 32.402344 1589203535.5743
MEM 192.824219 1589203535.6747
MEM 192.894531 1589203535.7751
MEM 174.734375 1589203535.8755
MEM 151.015625 1589203535.9759
MEM 127.812500 1589203536.0762
MEM 106.671875 1589203536.1766
MEM 83.210938 1589203536.2770
MEM 61.812500 1589203536.3774
MEM 42.218750 1589203536.4778
MEM 41.476562 1589203536.5781
MEM 192.781250 1589203536.6785
MEM 192.781250 1589203536.7788
MEM 192.781250 1589203536.8791
MEM 192.781250 1589203536.9795
MEM 192.781250 1589203537.0798
MEM 188.656250 1589203537.1802
MEM 165.710938 1589203537.2806
MEM 145.085938 1589203537.3810
MEM 124.460938 1589203537.4814
MEM 106.414062 1589203537.5819
MEM 87.593750 1589203537.6822
MEM 40.417969 1589203537.7826
