FUNC __main__.my_func 32.4609 1589203702.9194 40.1289 1589203703.0231 0
FUNC __main__.my_func 32.5000 1589203703.0254 40.1133 1589203703.1290 0
FUNC __main__.my_func 40.1133 1589203703.1311 40.1172 1589203703.2350 0
FUNC __main__.my_func 40.1172 1589203703.2371 40.1172 1589203703.3411 0
FUNC __main__.my_func 40.1172 1589203703.3433 40.1172 1589203703.4475 0
FUNC __main__.my_func 40.1172 1589203703.4496 40.1172 1589203703.5537 0
FUNC __main__.my_func 40.1172 1589203703.5558 40.1172 1589203703.6588 0
FUNC __main__.my_func 40.1172 1589203703.6611 40.1172 1589203703.7650 0
FUNC __main__.my_func 40.1172 1589203703.7671 40.1172 1589203703.8708 0
FUNC __main__.my_func 40.1172 1589203703.8729 40.1172 1589203703.9769 0
FUNC __main__.my_func 40.1172 1589203703.9790 40.1172 1589203704.0831 0
FUNC __main__.my_func 40.1172 1589203704.0852 40.1172 1589203704.1885 0
FUNC __main__.my_func 40.1172 1589203704.1906 40.1172 1589203704.2940 0
FUNC __main__.my_func 40.1172 1589203704.2962 40.1172 1589203704.4019 0
FUNC __main__.my_func 40.1172 1589203704.4040 40.1172 1589203704.5083 0
FUNC __main__.my_func 40.1172 1589203704.5105 40.1172 1589203704.6138 0
FUNC __main__.my_func 40.1172 1589203704.6159 40.1172 1589203704.7196 0
FUNC __main__.my_func 40.1172 1589203704.7217 40.1211 1589203704.8254 0
FUNC __main__.my_func 40.1211 1589203704.8275 40.1211 1589203704.9313 0
FUNC __main__.my_func 40.1211 1589203704.9334 40.1211 1589203705.0369 0
CMDLINE /home/freshield/anaconda3/bin/python b1_memory_profiler.py
MEM 0.664062 1589203702.6532
MEM 18.261719 1589203702.7536
MEM 27.488281 1589203702.8539
MEM 125.570312 1589203702.9543
MEM 110.871094 1589203703.0547
MEM 97.601562 1589203703.1551
MEM 82.652344 1589203703.2556
MEM 66.410156 1589203703.3560
MEM 50.683594 1589203703.4564
MEM 40.117188 1589203703.5569
MEM 79.058594 1589203703.6573
MEM 192.480469 1589203703.7577
MEM 192.480469 1589203703.8581
MEM 192.480469 1589203703.9584
MEM 192.480469 1589203704.0588
MEM 192.480469 1589203704.1592
MEM 192.480469 1589203704.2596
MEM 192.480469 1589203704.3600
MEM 183.457031 1589203704.4604
MEM 167.988281 1589203704.5609
MEM 154.324219 1589203704.6613
MEM 139.886719 1589203704.7617
MEM 125.710938 1589203704.8621
MEM 111.273438 1589203704.9626
MEM 40.121094 1589203705.0629
